locus_tag	ftype	length_bp	gene	EC_number	COG	product
KBOACNCO_00860	CDS	1215		2.4.1.11	COG0438	Glycogen synthase
KBOACNCO_00861	CDS	777				hypothetical protein
KBOACNCO_00862	CDS	324				hypothetical protein
KBOACNCO_00863	CDS	609				hypothetical protein
KBOACNCO_00864	CDS	615				hypothetical protein
KBOACNCO_00865	CDS	1392	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
KBOACNCO_00866	CDS	1527	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
KBOACNCO_00867	CDS	561	sepF			Cell division protein SepF
KBOACNCO_00868	CDS	390	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
KBOACNCO_00869	CDS	255				hypothetical protein
KBOACNCO_00870	CDS	273				hypothetical protein
KBOACNCO_00871	CDS	312	groS			10 kDa chaperonin
KBOACNCO_00872	CDS	1626	groL1			60 kDa chaperonin 1
KBOACNCO_00873	CDS	2199	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
KBOACNCO_00874	CDS	585				hypothetical protein
KBOACNCO_00875	CDS	585				hypothetical protein
KBOACNCO_00876	CDS	1089	aroC	4.2.3.5	COG0082	Chorismate synthase
KBOACNCO_00877	CDS	387	rplL			50S ribosomal protein L7/L12
KBOACNCO_00878	CDS	522	rplJ			50S ribosomal protein L10
KBOACNCO_00879	CDS	717	rplA		COG0081	50S ribosomal protein L1
KBOACNCO_00880	CDS	426	rplK		COG0080	50S ribosomal protein L11
KBOACNCO_00881	CDS	618	nusG		COG0250	Transcription termination/antitermination protein NusG
KBOACNCO_00882	CDS	246	secE			Protein translocase subunit SecE
KBOACNCO_00883	tRNA	75				tRNA-Trp(cca)
KBOACNCO_00884	CDS	369	rplS		COG0335	50S ribosomal protein L19
KBOACNCO_00885	CDS	393				hypothetical protein
KBOACNCO_00886	CDS	996			COG0596	putative protein
KBOACNCO_00887	CDS	1080				hypothetical protein
KBOACNCO_00888	CDS	696				hypothetical protein
KBOACNCO_00889	CDS	483				hypothetical protein
KBOACNCO_00890	CDS	321				Ferredoxin-1
KBOACNCO_00891	CDS	993	phaE			Poly(3-hydroxyalkanoate) polymerase subunit PhaE
KBOACNCO_00892	CDS	1137	phaC	2.3.1.-		Poly(3-hydroxyalkanoate) polymerase subunit PhaC
KBOACNCO_00893	CDS	384				hypothetical protein
KBOACNCO_00894	CDS	402			COG2335	Immunogenic protein MPT70
KBOACNCO_00895	CDS	1296				hypothetical protein
KBOACNCO_00896	CDS	1509	ndhD1_2	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
KBOACNCO_00897	CDS	1848	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
KBOACNCO_00898	CDS	633				hypothetical protein
KBOACNCO_00899	CDS	2256	psaA	1.97.1.12		Photosystem I P700 chlorophyll a apoprotein A1
KBOACNCO_00900	CDS	2196	psaB	1.97.1.12		Photosystem I P700 chlorophyll a apoprotein A2
KBOACNCO_00901	CDS	990				hypothetical protein
KBOACNCO_00902	CDS	1833		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
KBOACNCO_00903	CDS	1140	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KBOACNCO_00904	CDS	1242	mshA_6	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KBOACNCO_00905	CDS	1302				hypothetical protein
KBOACNCO_00906	CDS	705	mprA_1			Response regulator MprA
KBOACNCO_00907	CDS	975	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
KBOACNCO_00908	CDS	312	ccmK		COG4577	Carbon dioxide-concentrating mechanism protein CcmK
KBOACNCO_00909	CDS	339	ccmK4			Carbon dioxide-concentrating mechanism protein CcmK 
KBOACNCO_00910	CDS	1116	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
KBOACNCO_00911	CDS	1893				putative protein
KBOACNCO_00912	CDS	939	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
KBOACNCO_00913	CDS	1530	zwf2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase 2
KBOACNCO_00914	CDS	2913	uvrA		COG0178	UvrABC system protein A
KBOACNCO_00915	CDS	1536				hypothetical protein
KBOACNCO_00916	CDS	786			COG3039	IS5 family transposase IS5Sa
KBOACNCO_00917	CDS	414				hypothetical protein
KBOACNCO_00918	CDS	240				hypothetical protein
KBOACNCO_00919	CDS	159				hypothetical protein
KBOACNCO_00920	CDS	1059	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
KBOACNCO_00921	CDS	303	hup		COG0776	DNA-binding protein HU
KBOACNCO_00922	CDS	855				hypothetical protein
KBOACNCO_00923	CDS	1470				hypothetical protein
KBOACNCO_00924	CDS	1437	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
KBOACNCO_00925	CDS	870				hypothetical protein
KBOACNCO_00926	CDS	1137	cbiD	2.1.1.195		Cobalt-precorrin-5B C(1)-methyltransferase
KBOACNCO_00927	CDS	936				hypothetical protein
KBOACNCO_00928	CDS	633				hypothetical protein
KBOACNCO_00929	CDS	171				hypothetical protein
KBOACNCO_00930	CDS	486	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
KBOACNCO_00931	CDS	1419	dinF		COG0534	DNA damage-inducible protein F
KBOACNCO_00932	CDS	915				hypothetical protein
KBOACNCO_00933	CDS	213				hypothetical protein
KBOACNCO_00934	CDS	312				hypothetical protein
KBOACNCO_00935	CDS	672				hypothetical protein
KBOACNCO_00936	CDS	543				hypothetical protein
KBOACNCO_00937	CDS	999			COG0701	Putative two-component membrane permease complex subunit SMU_747c
KBOACNCO_00938	tRNA	81				tRNA-Leu(gag)
KBOACNCO_00939	CDS	1242	mshA_7	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KBOACNCO_00940	CDS	228	tatA_2			Sec-independent protein translocase protein TatA
KBOACNCO_00941	CDS	1434	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
KBOACNCO_00942	CDS	1887	ftsH4	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 4
KBOACNCO_00943	CDS	1038	hypE	4.2.1.-		Carbamoyl dehydratase HypE
KBOACNCO_00944	CDS	663				hypothetical protein
KBOACNCO_00945	CDS	678	surE_1	3.1.3.5	COG0496	5'-nucleotidase SurE
KBOACNCO_00946	CDS	564	def	3.5.1.88		Peptide deformylase
KBOACNCO_00947	CDS	198				hypothetical protein
KBOACNCO_00948	CDS	1533	lysS	6.1.1.6		Lysine--tRNA ligase
KBOACNCO_00949	CDS	957				hypothetical protein
KBOACNCO_00950	CDS	909				hypothetical protein
KBOACNCO_00951	CDS	2535				hypothetical protein
KBOACNCO_00952	CDS	468				hypothetical protein
KBOACNCO_00953	CDS	192				hypothetical protein
KBOACNCO_00954	CDS	2145	narB	1.7.5.1	COG0243	Nitrate reductase
KBOACNCO_00955	CDS	270				hypothetical protein
KBOACNCO_00956	CDS	990	cmpD_1	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
KBOACNCO_00957	CDS	2013	cmpC_1	3.6.3.-	COG0715	Bicarbonate transport ATP-binding protein CmpC
KBOACNCO_00958	CDS	828	cmpB_1		COG0600	Bicarbonate transport system permease protein CmpB
KBOACNCO_00959	CDS	1305	nrtA			Nitrate/nitrite binding protein NrtA
KBOACNCO_00960	CDS	1050	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
KBOACNCO_00961	CDS	645	gpmA_2	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
KBOACNCO_00962	CDS	324	rlpA_1	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
KBOACNCO_00963	CDS	1293	ftsZ			Cell division protein FtsZ
KBOACNCO_00964	CDS	810	ftsQ			Cell division protein FtsQ
KBOACNCO_00965	CDS	1272		3.4.21.-		putative CtpA-like serine protease
KBOACNCO_00966	CDS	666				hypothetical protein
KBOACNCO_00967	CDS	903	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
KBOACNCO_00968	CDS	477				hypothetical protein
KBOACNCO_00969	CDS	429	ureE			Urease accessory protein UreE
KBOACNCO_00970	CDS	954				hypothetical protein
KBOACNCO_00971	CDS	261				hypothetical protein
KBOACNCO_00972	CDS	396				hypothetical protein
KBOACNCO_00973	CDS	213				hypothetical protein
KBOACNCO_00974	CDS	2376	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
KBOACNCO_00975	CDS	522			COG1259	putative protein
KBOACNCO_00976	CDS	924				Epimerase family protein
KBOACNCO_00977	CDS	1227	ugpC	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
KBOACNCO_00978	CDS	1488	spkF	2.7.11.1		Serine/threonine-protein kinase F
KBOACNCO_00979	CDS	747		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
KBOACNCO_00980	CDS	747	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
KBOACNCO_00981	CDS	2466	bamA			Outer membrane protein assembly factor BamA
KBOACNCO_00982	CDS	1644	prfC			Peptide chain release factor 3
KBOACNCO_00983	CDS	1497				hypothetical protein
KBOACNCO_00984	CDS	864				hypothetical protein
KBOACNCO_00985	CDS	1005		1.6.3.5	COG3380	Renalase
KBOACNCO_00986	CDS	537				hypothetical protein
KBOACNCO_00987	CDS	264				hypothetical protein
KBOACNCO_00988	CDS	1728	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
KBOACNCO_00989	CDS	252	bchB_1	1.3.7.7		Light-independent protochlorophyllide reductase subunit B
KBOACNCO_00990	CDS	345		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
KBOACNCO_00991	CDS	882			COG0596	putative protein
KBOACNCO_00992	CDS	534				hypothetical protein
KBOACNCO_00993	CDS	177				hypothetical protein
KBOACNCO_00994	CDS	1452				hypothetical protein
KBOACNCO_00995	CDS	429				hypothetical protein
KBOACNCO_00996	CDS	1353	codAch2	3.5.4.11	COG0402	Pterin deaminase
KBOACNCO_00997	CDS	348				hypothetical protein
KBOACNCO_00998	CDS	267				hypothetical protein
KBOACNCO_00999	CDS	891	todF	3.7.1.25		2-hydroxy-6-oxo-2,4-heptadienoate hydrolase
KBOACNCO_01000	CDS	240				hypothetical protein
KBOACNCO_01001	CDS	267				putative glutaredoxin
KBOACNCO_01002	CDS	963	gshB	6.3.2.3	COG0189	Glutathione synthetase
KBOACNCO_01003	CDS	267				hypothetical protein
KBOACNCO_01004	CDS	828	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
KBOACNCO_01005	CDS	1593	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
KBOACNCO_01006	CDS	540				hypothetical protein
KBOACNCO_01007	CDS	348				hypothetical protein
KBOACNCO_01008	CDS	231				hypothetical protein
KBOACNCO_01009	CDS	225				hypothetical protein
KBOACNCO_01010	CDS	1443	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
KBOACNCO_01011	CDS	1284				hypothetical protein
KBOACNCO_01012	CDS	852				hypothetical protein
KBOACNCO_01013	CDS	339				hypothetical protein
KBOACNCO_01014	CDS	870				hypothetical protein
KBOACNCO_01015	CDS	2967	ileS	6.1.1.5		Isoleucine--tRNA ligase
KBOACNCO_01016	CDS	225				hypothetical protein
KBOACNCO_01017	CDS	3351				hypothetical protein
KBOACNCO_01018	CDS	432				hypothetical protein
KBOACNCO_01019	CDS	2037				hypothetical protein
KBOACNCO_01020	CDS	1185	oxdC	4.1.1.2	COG2140	Oxalate decarboxylase OxdC
KBOACNCO_01021	CDS	2535	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
KBOACNCO_01022	CDS	135				hypothetical protein
KBOACNCO_01023	CDS	459				hypothetical protein
KBOACNCO_01024	CDS	537				hypothetical protein
KBOACNCO_01025	CDS	246				hypothetical protein
KBOACNCO_01026	CDS	858				hypothetical protein
KBOACNCO_01027	CDS	1845				hypothetical protein
KBOACNCO_01028	CDS	1002				hypothetical protein
KBOACNCO_01029	CDS	255				hypothetical protein
KBOACNCO_01030	tRNA	74				tRNA-Met(cat)
KBOACNCO_01031	CDS	2280				hypothetical protein
KBOACNCO_01032	CDS	2997	rcsC_9	2.7.13.3		Sensor histidine kinase RcsC
KBOACNCO_01033	CDS	1419				hypothetical protein
KBOACNCO_01034	CDS	924	scrK	2.7.1.4	COG0524	Fructokinase
KBOACNCO_01035	CDS	462				hypothetical protein
KBOACNCO_01036	CDS	315				hypothetical protein
KBOACNCO_01037	CDS	1197				hypothetical protein
KBOACNCO_01038	CDS	666	ppaX_1	3.6.1.1	COG0546	Pyrophosphatase PpaX
KBOACNCO_01039	CDS	933	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
KBOACNCO_01040	CDS	495	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
KBOACNCO_01041	CDS	189	psbZ			Photosystem II reaction center protein Z
KBOACNCO_01042	tRNA	82				tRNA-Leu(caa)
KBOACNCO_01043	CDS	987	rpsA_1		COG0539	30S ribosomal protein S1
KBOACNCO_01044	CDS	849				IS630 family transposase ISTcSa
KBOACNCO_01045	CDS	1155	recF_2		COG1195	DNA replication and repair protein RecF
KBOACNCO_01046	CDS	1740		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
KBOACNCO_01047	CDS	1776	pyk	2.7.1.40		Pyruvate kinase
KBOACNCO_01048	CDS	402				hypothetical protein
KBOACNCO_01049	CDS	516				hypothetical protein
KBOACNCO_01050	CDS	1503		2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
KBOACNCO_01051	CDS	1089	bioB	2.8.1.6		Biotin synthase
KBOACNCO_01052	CDS	654				hypothetical protein
KBOACNCO_01053	CDS	486	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
KBOACNCO_01054	CDS	150				hypothetical protein
KBOACNCO_01055	CDS	1425				hypothetical protein
KBOACNCO_01056	CDS	771				hypothetical protein
KBOACNCO_01057	CDS	246				hypothetical protein
KBOACNCO_01058	CDS	1719				putative protein
KBOACNCO_01059	CDS	1584				hypothetical protein
KBOACNCO_01060	CDS	270	phaP			Phasin PhaP
KBOACNCO_01061	CDS	2532	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
KBOACNCO_01062	CDS	594	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
KBOACNCO_01063	CDS	882				hypothetical protein
KBOACNCO_01064	CDS	1518				hypothetical protein
KBOACNCO_01065	CDS	450				hypothetical protein
KBOACNCO_01066	CDS	5937				hypothetical protein
KBOACNCO_01067	CDS	1371				hypothetical protein
KBOACNCO_01068	CDS	438	mscL			Large-conductance mechanosensitive channel
KBOACNCO_01069	CDS	636	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
KBOACNCO_01070	CDS	777				hypothetical protein
KBOACNCO_01071	CDS	1230				hypothetical protein
KBOACNCO_01072	CDS	252				hypothetical protein
KBOACNCO_01073	CDS	1452	gatA	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A
KBOACNCO_01074	CDS	738				hypothetical protein
KBOACNCO_01075	CDS	399	gcvH		COG0509	Glycine cleavage system H protein
KBOACNCO_01076	CDS	1773	rqcH			Rqc2 RqcH
KBOACNCO_01077	CDS	1164	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
KBOACNCO_01078	CDS	213				hypothetical protein
KBOACNCO_01079	CDS	312				hypothetical protein
KBOACNCO_01080	CDS	393				hypothetical protein
KBOACNCO_01081	CDS	1179				hypothetical protein
KBOACNCO_01082	CDS	150				hypothetical protein
KBOACNCO_01083	CDS	1446	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
KBOACNCO_01084	CDS	429				hypothetical protein
KBOACNCO_01085	CDS	1020	gap1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
KBOACNCO_01086	CDS	96				hypothetical protein
KBOACNCO_01087	CDS	576				hypothetical protein
KBOACNCO_01088	CDS	597	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
KBOACNCO_01089	CDS	894	lipA2	2.8.1.8	COG0320	Lipoyl synthase 2
KBOACNCO_01090	CDS	1209				hypothetical protein
KBOACNCO_01091	CDS	744	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase
KBOACNCO_01092	CDS	810	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
KBOACNCO_01093	CDS	507				hypothetical protein
KBOACNCO_01094	CDS	1227	ubiB_2	2.7.-.-	COG0661	putative protein kinase UbiB
KBOACNCO_01095	CDS	270				hypothetical protein
KBOACNCO_01096	CDS	396				hypothetical protein
KBOACNCO_01097	CDS	1881	uvrC		COG0322	UvrABC system protein C
KBOACNCO_01098	CDS	1767				hypothetical protein
KBOACNCO_01099	CDS	573				hypothetical protein
KBOACNCO_01100	CDS	384				hypothetical protein
KBOACNCO_01101	CDS	1512				hypothetical protein
KBOACNCO_01102	CDS	912	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
KBOACNCO_01103	CDS	522				hypothetical protein
KBOACNCO_01104	CDS	987	petA			Cytochrome f
KBOACNCO_01105	CDS	543	petC_1	7.1.1.6	COG0723	Cytochrome b6-f complex iron-sulfur subunit
KBOACNCO_01106	CDS	195	psbH			Photosystem II reaction center protein H
KBOACNCO_01107	CDS	132	psbN			Protein PsbN
KBOACNCO_01108	CDS	270				hypothetical protein
KBOACNCO_01109	CDS	1059				hypothetical protein
KBOACNCO_01110	CDS	1110				hypothetical protein
KBOACNCO_01111	CDS	9051				hypothetical protein
KBOACNCO_01112	CDS	741	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
KBOACNCO_01113	CDS	546				hypothetical protein
KBOACNCO_01114	CDS	870				hypothetical protein
KBOACNCO_01115	CDS	981	pkwA_1	2.7.11.1		putative serine/threonine-protein kinase PkwA
KBOACNCO_01116	CDS	1005	pkwA_2	2.7.11.1		putative serine/threonine-protein kinase PkwA
KBOACNCO_01117	CDS	528				hypothetical protein
KBOACNCO_01118	CDS	1008				hypothetical protein
KBOACNCO_01119	CDS	888		3.3.2.10		Soluble epoxide hydrolase
KBOACNCO_01120	CDS	864		5.1.3.30	COG1082	D-psicose 3-epimerase
KBOACNCO_01121	CDS	807				hypothetical protein
KBOACNCO_01122	CDS	171				hypothetical protein
KBOACNCO_01123	CDS	804				hypothetical protein
KBOACNCO_01124	CDS	444	lsrG	5.3.1.32		(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
KBOACNCO_01125	CDS	105				hypothetical protein
KBOACNCO_01126	CDS	567				hypothetical protein
KBOACNCO_01127	CDS	342				hypothetical protein
KBOACNCO_01128	CDS	597			COG0693	putative protein
KBOACNCO_01129	CDS	1824		5.1.3.11		Cellobiose 2-epimerase
KBOACNCO_01130	CDS	330	rsbV		COG1366	Anti-sigma-B factor antagonist
KBOACNCO_01131	CDS	2124	glgX_2	3.2.1.-	COG1523	Glycogen operon protein GlgX 
KBOACNCO_01132	CDS	327				hypothetical protein
KBOACNCO_01133	CDS	1905				hypothetical protein
KBOACNCO_01134	CDS	432				hypothetical protein
KBOACNCO_01135	CDS	2124				hypothetical protein
KBOACNCO_01136	CDS	1071				hypothetical protein
KBOACNCO_01137	CDS	1392				hypothetical protein
KBOACNCO_01138	CDS	1002				hypothetical protein
KBOACNCO_01139	CDS	1047	trpD2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase 2
KBOACNCO_01140	CDS	678	deoC1	4.1.2.4		Deoxyribose-phosphate aldolase 1
KBOACNCO_01141	CDS	2454				hypothetical protein
KBOACNCO_01142	CDS	225				hypothetical protein
KBOACNCO_01143	CDS	783				hypothetical protein
KBOACNCO_01144	CDS	750				hypothetical protein
KBOACNCO_01145	CDS	120				hypothetical protein
KBOACNCO_01146	CDS	750				hypothetical protein
KBOACNCO_01147	CDS	237				hypothetical protein
KBOACNCO_01148	CDS	699	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
KBOACNCO_01149	CDS	888	dmlR_1			HTH-type transcriptional regulator DmlR
KBOACNCO_01150	CDS	2469	mutS2	3.1.-.-		Endonuclease MutS2
KBOACNCO_01151	CDS	765	prpC	3.1.3.16	COG0631	Protein phosphatase PrpC
KBOACNCO_01152	CDS	1758	ubiB_3	2.7.-.-	COG0661	putative protein kinase UbiB
KBOACNCO_01153	CDS	183				hypothetical protein
KBOACNCO_01154	CDS	318				hypothetical protein
KBOACNCO_01155	CDS	273				hypothetical protein
KBOACNCO_01156	CDS	177				hypothetical protein
KBOACNCO_01157	CDS	975	dppB_1		COG0601	Dipeptide transport system permease protein DppB
KBOACNCO_01158	CDS	1065	ddl	6.3.2.4		D-alanine--D-alanine ligase
KBOACNCO_01159	CDS	639				hypothetical protein
KBOACNCO_01160	CDS	297	clpS_1			ATP-dependent Clp protease adapter protein ClpS
KBOACNCO_01161	CDS	474				hypothetical protein
KBOACNCO_01162	CDS	336	rpsF		COG0360	30S ribosomal protein S6
KBOACNCO_01163	CDS	831				hypothetical protein
KBOACNCO_01164	CDS	819	cpcE	4.-.-.-	COG1413	Phycocyanobilin lyase subunit alpha
KBOACNCO_01165	CDS	1197				hypothetical protein
KBOACNCO_01166	CDS	480				hypothetical protein
KBOACNCO_01167	CDS	435				hypothetical protein
KBOACNCO_01168	CDS	405				hypothetical protein
KBOACNCO_01169	CDS	900	gltI_2		COG0834	Glutamate/aspartate import solute-binding protein
KBOACNCO_01170	CDS	729	cobIJ		COG1010	Cobalamin biosynthesis protein CobIJ
KBOACNCO_01171	CDS	597				hypothetical protein
KBOACNCO_01172	CDS	921	thrB_2	2.7.1.39	COG0083	Homoserine kinase
KBOACNCO_01173	CDS	1134	nahK	2.7.1.162		N-acetylhexosamine 1-kinase
KBOACNCO_01174	CDS	1467	glmM_1	5.4.2.10		Phosphoglucosamine mutase
KBOACNCO_01175	CDS	228	fprB	1.18.1.2	COG0493	putative ferredoxin/ferredoxin--NADP reductase
KBOACNCO_01176	CDS	723	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
KBOACNCO_01177	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
KBOACNCO_01178	CDS	819				hypothetical protein
KBOACNCO_01179	CDS	270				hypothetical protein
KBOACNCO_01180	CDS	225				hypothetical protein
KBOACNCO_01181	CDS	1014	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
KBOACNCO_01182	CDS	168				hypothetical protein
KBOACNCO_01183	CDS	579				hypothetical protein
KBOACNCO_01184	CDS	465	rsfS			Ribosomal silencing factor RsfS
KBOACNCO_01185	CDS	1161				hypothetical protein
KBOACNCO_01186	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
KBOACNCO_01187	CDS	1893		2.8.3.-		butyrate:acetyl-CoA coenzyme A-transferase
KBOACNCO_01188	CDS	2094	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
KBOACNCO_01189	CDS	615				hypothetical protein
KBOACNCO_01190	CDS	714	sfsA		COG1489	Sugar fermentation stimulation protein A
KBOACNCO_01191	CDS	588				hypothetical protein
KBOACNCO_01192	CDS	957	sigA2_1		COG0568	RNA polymerase sigma factor SigA2
KBOACNCO_01193	CDS	627	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
KBOACNCO_01194	CDS	1359	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
KBOACNCO_01195	CDS	1308		3.4.24.-	COG0612	putative zinc protease
KBOACNCO_01196	CDS	1293		3.4.24.-	COG0612	putative zinc protease
KBOACNCO_01197	CDS	777				hypothetical protein
KBOACNCO_01198	CDS	1212	ispG	1.17.7.1	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
KBOACNCO_01199	CDS	417				hypothetical protein
KBOACNCO_01200	CDS	357				hypothetical protein
KBOACNCO_01201	CDS	3231	gyrB	5.6.2.2		DNA gyrase subunit B
KBOACNCO_01202	CDS	258				hypothetical protein
KBOACNCO_01203	CDS	120	psbY			Photosystem II protein Y
KBOACNCO_01204	CDS	897	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
KBOACNCO_01205	CDS	1554	arnT_1	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
KBOACNCO_01206	CDS	1206	cefD	5.1.1.17	COG0520	Isopenicillin N epimerase
KBOACNCO_01207	CDS	879				hypothetical protein
KBOACNCO_01208	CDS	825				hypothetical protein
KBOACNCO_01209	CDS	930	dpnM	2.1.1.72		Modification methylase DpnIIA
KBOACNCO_01210	CDS	786			COG3039	IS5 family transposase IS5Sa
KBOACNCO_01211	CDS	747	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
KBOACNCO_01212	CDS	285				hypothetical protein
KBOACNCO_01213	CDS	633	degU_1		COG2197	Transcriptional regulatory protein DegU
KBOACNCO_01214	CDS	2217	sasA_6	2.7.-.-		Adaptive-response sensory-kinase SasA
KBOACNCO_01215	CDS	771				hypothetical protein
KBOACNCO_01216	CDS	1833	sppA_1	3.4.21.-	COG0616	Protease 4
KBOACNCO_01217	CDS	513				hypothetical protein
KBOACNCO_01218	CDS	786	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
KBOACNCO_01219	CDS	1284	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
KBOACNCO_01220	CDS	798				hypothetical protein
KBOACNCO_01221	CDS	1872			COG0747	putative ABC transporter-binding protein
KBOACNCO_01222	CDS	381				hypothetical protein
KBOACNCO_01223	CDS	966				hypothetical protein
KBOACNCO_01224	CDS	480				hypothetical protein
KBOACNCO_01225	CDS	477				hypothetical protein
KBOACNCO_01226	CDS	462				hypothetical protein
KBOACNCO_01227	CDS	465				hypothetical protein
KBOACNCO_01228	CDS	537				hypothetical protein
KBOACNCO_01229	CDS	2154				hypothetical protein
KBOACNCO_01230	CDS	813				hypothetical protein
KBOACNCO_01231	CDS	513				hypothetical protein
KBOACNCO_01232	CDS	507				hypothetical protein
KBOACNCO_01233	CDS	1323	COQ3_3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
KBOACNCO_01234	CDS	606				hypothetical protein
KBOACNCO_01235	CDS	438				hypothetical protein
KBOACNCO_01236	CDS	453				hypothetical protein
KBOACNCO_01237	CDS	996				hypothetical protein
KBOACNCO_01238	CDS	1110	sigA2_2		COG0568	RNA polymerase sigma factor SigA2
KBOACNCO_01239	CDS	1302	trpB_1	4.2.1.20		Tryptophan synthase beta chain
KBOACNCO_01240	CDS	1473	arnT_2	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
KBOACNCO_01241	CDS	2829				hypothetical protein
KBOACNCO_01242	CDS	1101	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
KBOACNCO_01243	CDS	660	nth	4.2.99.18	COG0177	Endonuclease III
KBOACNCO_01244	CDS	450				hypothetical protein
KBOACNCO_01245	CDS	495	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
KBOACNCO_01246	CDS	426				hypothetical protein
KBOACNCO_01247	CDS	1470	cry			Cryptochrome DASH
KBOACNCO_01248	CDS	1155				hypothetical protein
